Car Brands,Country of Origin
Abarth,Italy
Acura,Japan
Alfa Romeo,Italy
AMC,United State
Aston Martin,United Kingdom
Audi,Germany
Austin,United Kingdom
Austin-Healey,United Kingdom
Bentley,United Kingdom
BMW,Germany
Bufori,United Kingdom
Bugatti,France
Buick,United State
Cadillac,United State
Chana,China
Changfeng,China
Chery,China
Chevrolet,United State
Chrysler,United State
Citroën,France
Dacia,Romania
Daewoo,South Korea
Daihatsu,Japan
Dodge,United State
Dongfeng,China
Elfin,Australia
Ferrari,Italy
Fiat,Italy
Ford,United States
GM,United State
GMC,United State
GreatWall,China
Hafei,China
Haima,China
Holden,Australia
Honda,Japan
Hongqi,China
Hummer,United State
Hyundai,South Korea
Infiniti,Japan
Isuzu,Japan
Iveco,Italy
Jaguar,United Kingdom
Jeep,United State
Kia,South Korea
Koenigsegg,Sweden
Lada (AvtoVAZ),Russia
Lamborghini,Italy
Lancia,Italy
Land Rover,United Kingdom
Lexus,Japan
Leyland,United Kingdom
Lincoln,United State
Lotus,United Kingdom
Mahindra,India
Maserati,Italy
Maybach,Germany
Mazda,Japan
McLaren,United Kingdom
Mercedes-Benz,Germany
Mercury,United State
MG,United Kingdom
MINI,United Kingdom
Mitsubishi,Japan
Mitsuoka,Japan
Morgan,United Kingdom
,
Nissan,Japan
Oldsmobile,United State
Opel,Germany
Orion,Canada
Pagani,Italy
Perodua,Malaysia
Peugeot,France
Plymouth,United State
Pontiac,United State
Porsche,Germany
Proton,Malaysia
Ram,United State
Renault,France
Rolls-Royce,United Kingdom
Saab,Sweden
Saleen,United State
Saturn,United State
Scania,Sweden
Scion,United State
SEAT,Spain
Setra,Germany
Škoda,Czech Replublic
Smart,Germany
SsangYong,South Korea
Subaru,Japan
Suzuki,Japan
Tata,India
Tesla,United State
Toyota,Japan
Triumph,United Kingdom
TVR,United Kingdom
Vauxhall,United Kingdom
Volkswagen,Germany
Volvo,Sweden
Wuling,China
Zhongxing,China